IP Address;TTL;Hostname;MAC Address;MAC Vendor;Latency;Is Alive;Open Ports;Username;NIC Speed;Operating System;Serial Number;Model;Processor;Memory;% Free Mem;Time;Reliability;model;SNMP Description;SNMP Name;SNMP Location;SNMP Uptime;CustomSNMP;Switch/Port
"Sending: 
M-SEARCH * HTTP/1.1
HOST: 239.255.255.250:1900
MAN: ""ssdp:discover""
MX: 5
ST: ssdp:all

";;;;;;;;;;;;;;;;;;;;;;;;
10.24.70.1;64;;;;0;True;"22;80";;;;;;;;;;;;;;;;;
10.24.70.10;63;;;;1;True;"22;23;80";;;;;;;;;;;;;;;;;
10.24.70.11;63;;;;13;True;"22;23;80";;;;;;;;;;;;;;;;;
10.24.70.12;63;;;;7;True;"22;23;80";;;;;;;;;;;;;;;;;
10.24.202.1;64;;;;0;True;"22;80";;;;;;;;;;;;;;;;;
10.24.202.95;127;;;;28;True;;;;;;;;;;;;;;;;;;
10.24.202.124;127;;;;49;True;;;;;;;;;;;;;;;;;;
10.24.202.125;127;;;;133;True;;;;;;;;;;;;;;;;;;
192.168.50.1;64;;;;0;True;"22;80";;;;;;;;;;;;;;;;;
192.168.50.2;63;;;;3;True;80;;;;;;;;;;;;;;;;;
192.168.50.3;63;;;;8;True;80;;;;;;;;;;;;;;;;;
192.168.50.4;63;;;;2;True;80;;;;;;;;;;;;;;;;;
192.168.50.7;63;;;;1;True;22;;;;;;;;;;;;;;;;;
192.168.50.8;63;;;;1;True;"80;443";;;;;;;;;;;;;;;;;
192.168.50.9;63;;;;0;True;80;;;;;;;;;;;;;;;;;
192.168.50.11;63;;;;49;True;;;;;;;;;;;;;;;;;;
192.168.50.12;63;;;;119;True;;;;;;;;;;;;;;;;;;
192.168.50.13;63;;;;4;True;;;;;;;;;;;;;;;;;;
192.168.50.5;127;;;;1;True;3389;;;;;;;;;;;;;;;;;
192.168.50.14;63;;;;90;True;;;;;;;;;;;;;;;;;;
192.168.50.17;63;;;;4;True;;;;;;;;;;;;;;;;;;
192.168.50.18;63;;;;129;True;;;;;;;;;;;;;;;;;;
192.168.50.19;63;;;;455;True;;;;;;;;;;;;;;;;;;
192.168.50.20;63;;;;29;True;;;;;;;;;;;;;;;;;;
192.168.50.23;63;;;;46;True;;;;;;;;;;;;;;;;;;
192.168.50.31;63;;;;1;True;22;;;;;;;;;;;;;;;;;
192.168.50.32;63;;;;1;True;22;;;;;;;;;;;;;;;;;
192.168.50.33;63;;;;0;True;22;;;;;;;;;;;;;;;;;
192.168.50.34;63;;;;0;True;22;;;;;;;;;;;;;;;;;
192.168.50.35;63;;;;0;True;22;;;;;;;;;;;;;;;;;
192.168.50.36;63;;;;0;True;22;;;;;;;;;;;;;;;;;
192.168.50.37;63;;;;0;True;22;;;;;;;;;;;;;;;;;
192.168.50.38;63;;;;0;True;22;;;;;;;;;;;;;;;;;
192.168.50.39;63;;;;1;True;22;;;;;;;;;;;;;;;;;
192.168.50.40;63;;;;1;True;"22;80";;;;;;;;;;;;;;;;;
192.168.50.63;63;;;;23;True;;;;;;;;;;;;;;;;;;
192.168.50.62;63;;;;172;True;;;;;;;;;;;;;;;;;;
192.168.50.69;63;;;;70;True;;;;;;;;;;;;;;;;;;
192.168.50.68;63;;;;175;True;;;;;;;;;;;;;;;;;;
192.168.50.72;127;;;;1;True;;;;;;;;;;;;;;;;;;
192.168.50.75;127;;;;2;True;;;;;;;;;;;;;;;;;;
192.168.50.74;63;;;;164;True;;;;;;;;;;;;;;;;;;
192.168.50.76;63;;;;40;True;;;;;;;;;;;;;;;;;;
192.168.50.78;127;;;;9;True;;;;;;;;;;;;;;;;;;
192.168.50.81;127;;;;2;True;;;;;;;;;;;;;;;;;;
192.168.50.88;127;;;;4;True;;;;;;;;;;;;;;;;;;
192.168.50.96;127;;;;6;True;;;;;;;;;;;;;;;;;;
192.168.50.84;63;;;;67;True;;;;;;;;;;;;;;;;;;
192.168.50.100;63;;;;38;True;;;;;;;;;;;;;;;;;;
192.168.50.95;63;;;;324;True;;;;;;;;;;;;;;;;;;
192.168.50.91;63;;;;119;True;;;;;;;;;;;;;;;;;;
192.168.50.99;63;;;;101;True;;;;;;;;;;;;;;;;;;
192.168.50.101;63;;;;17;True;;;;;;;;;;;;;;;;;;
192.168.50.82;63;;;;319;True;;;;;;;;;;;;;;;;;;
192.168.50.104;63;;;;323;True;;;;;;;;;;;;;;;;;;
192.168.50.105;63;;;;37;True;;;;;;;;;;;;;;;;;;
192.168.50.106;63;;;;364;True;;;;;;;;;;;;;;;;;;
192.168.50.109;127;;;;2;True;;;;;;;;;;;;;;;;;;
192.168.50.112;63;;;;0;True;22;;;;;;;;;;;;;;;;;
192.168.50.110;127;;;;2;True;;;;;;;;;;;;;;;;;;
192.168.50.111;127;;;;53;True;;;;;;;;;;;;;;;;;;
192.168.50.113;127;;;;3;True;;;;;;;;;;;;;;;;;;
192.168.50.108;63;;;;591;True;;;;;;;;;;;;;;;;;;
192.168.50.122;63;;;;2;True;"22;80";;;;;;;;;;;;;;;;;
192.168.50.117;127;;;;4;True;;;;;;;;;;;;;;;;;;
192.168.50.116;63;;;;424;True;;;;;;;;;;;;;;;;;;
192.168.50.130;63;;;;95;True;;;;;;;;;;;;;;;;;;
192.168.50.127;63;;;;83;True;;;;;;;;;;;;;;;;;;
